Ingredient;ID;Group;Energia (kcal) (na 100 g);Bialko (g) (na 100 g);Tluszcz (g) (na 100 g);Weglowodany (g);Wapn (mg);Fosfor (mg);Zelazo (mg);Witamina A (ug);Witamina B1 (mg);Witamina C (mg);Witamina D (ug);Blonnik (g);Witamina B2 (mg)
Butter;1001;Nabial;717;0,85;81,11;0,06;24;;0,02;684;0,005;0;;0;0,034
Cheese, cheddar;1009;Nabial;404;22,87;33,31;3,09;710;455;0,14;330;0,029;0;0,6;0;0,428
Cheese, cream;1017;Nabial;350;6,15;34,44;5,52;97;107;0,11;308;0,023;0;;0;0,23
Cheese, feta;1019;Nabial;264;14,21;21,28;4,09;493;337;0,65;125;0,154;0;0,4;0;0,844
Mozzarella;1026;Nabial;300;22,17;22,35;2,19;505;354;0,44;179;0,03;0;0,4;0;0,283
Parmesan;1032;Nabial;420;28,42;27,84;13,91;853;627;0,49;262;0,026;0;0,5;0;0,358
Cream;1049;Nabial;123;3,13;10,39;4,73;107;95;0,05;97;0,03;0,9;;0;0,194
Milk;1078;Nabial;64;3,28;3,66;4,65;119;93;0,05;33;0,038;1,5;;;
Yogurt;1116;Nabial;61;3,47;3,25;4,66;121;95;0,05;27;0,029;0,5;0,1;0;0,142
Egg;1128;Jajka;196;13,61;14,84;0,83;62;215;1,89;219;0,044;0;2,2;0;0,495
Olive;4053;Tluszcz;884;0;100;0;1;;0,56;0;;0;;0;
Cocoa butter;4501;Tluszcz;884;0;100;0;;;0;;;0;;;
Oil;4584;Tluszcz;884;0;100;0;;;0;;;0;;0;
Margarine;4585;Tluszcz;727;0,31;80,32;0,77;10;;0,04;819;0,009;0,1;;0;0,023
Apples;9004;Owoce;48;0,27;0,13;12,76;5;11;0,07;2;0,019;4;0;1,3;0,028
Blackberries;9048;Owoce;64;1,18;0,43;15,67;29;30;0,8;6;0,029;3,1;0;5;0,046
Blueberries;9055;Owoce;85;0,4;0,13;21,95;6;7;0,39;2;0,02;1;0;2,2;0,052
Cherries;9070;Owoce;63;1,06;0,2;16,01;13;21;0,36;3;0,027;7;0;2,1;0,033
Grapefruit;9112;Owoce;42;0,77;0,14;10,66;22;18;0,08;58;0,043;31,2;0;1,6;0,031
Kiwifruit;9148;Owoce;61;1,14;0,52;14,66;34;;0,31;4;0,027;92,7;0;3;0,025
Lemon juice;9152;Owoce;22;0,35;0,24;6,9;6;8;0,08;0;0,024;38,7;0;0,3;0,015
Lime juice;9160;Owoce;25;0,42;0,07;8,42;14;;0,09;2;0,025;30;0;0,4;0,015
Olives;9195;Owoce;145;1,03;15,32;3,84;52;4;0,49;20;0,021;0;0;3,3;0,007
Oranges;9201;Owoce;49;1,04;0,3;11,89;40;17;0,09;12;0,087;48,5;0;2,5;0,04
Pears;9252;Owoce;57;0,36;0,14;15,23;9;12;0,18;1;0,012;4,3;0;3,1;0,026
Asparagus;11012;Warzywa;22;2,4;0,22;4,11;23;54;0,91;50;0,162;7,7;0;2;0,139
Beans;11029;Warzywa;29;4,2;0,5;4,1;17;37;0,81;0;0,37;38,7;0;;0,25
Broccoli;11096;Warzywa;22;3,17;0,49;2,85;108;73;2,14;131;0,162;20,2;0;2,7;0,129
Brussels sprouts;11098;Warzywa;43;3,38;0,3;8,95;42;69;1,4;38;0,139;85;0;3,8;0,09
Carrots;11124;Warzywa;41;0,93;0,24;9,58;33;35;0,3;835;0,066;5,9;0;2,8;0,058
Garlic;11215;Warzywa;149;6,36;0,5;33,06;181;153;1,7;0;0,2;31,2;0;2,1;0,11
Onions;11282;Warzywa;40;1,1;0,1;9,34;23;29;0,21;0;0,046;7,4;0;1,7;0,027
Peas;11304;Warzywa;81;5,42;0,4;14,45;25;108;1,47;38;0,266;40;0;5,7;0,132
Potatoes;11367;Warzywa;86;1,71;0,1;20,01;8;40;0,31;0;0,098;7,4;0;1,8;0,019
Spinach;11457;Warzywa;23;2,86;0,39;3,63;99;49;2,71;469;0,078;28,1;0;2,2;0,189
Tomatoes;11531;Warzywa;16;0,79;0,25;3,47;33;17;0,57;20;0,575;12,6;0;1,9;0,055
Codfish;15017;Ryby;105;22,76;0,86;0;21;260;0,49;14;0,087;1;1,2;0;0,079
Herring;15041;Ryby;262;14,19;18;9,64;77;89;1,22;258;0,036;0;2,8;0;0,139
Mackerel;15048;Ryby;156;23,19;6,3;0;241;301;2,04;130;0,04;0,9;7,3;0;0,212
Perch;15057;Ryby;79;15,31;1,54;0;28;248;0,22;12;0,04;0;1,2;0;0,048
Salmon;15082;Ryby;184;27,36;7,5;0;46;298;0,71;32;0,115;1;;;
Tuna;15124;Ryby;186;26,53;8,08;0;4;267;0,65;5;0,017;0;;;
Mussel;15164;Owoce morza;86;11,9;2,24;3,69;26;197;3,95;48;0,16;8;;0;0,21
Octopus;15166;Owoce morza;82;14,91;1,04;2,2;53;186;5,3;45;0,03;5;;0;0,04
Oyster;15168;Owoce morza;199;8,77;12,58;11,62;62;159;6,95;90;0,15;3,8;;;
Crab;15227;Owoce morza;115;23,72;1,51;0;33;128;2,88;52;0,097;7,2;;;
Lobster;15228;Owoce morza;143;26,41;1,94;3,12;63;229;1,41;6;0,009;2,1;;;
Trout;15241;Ryby;168;23,8;7,38;0;30;270;0,36;100;0,143;2,9;19;0;0,107
Ttilapia;15261;Ryby;96;20,08;1,7;0;10;170;0,56;0;0,041;0;3,1;0;0,063
Lamb;17253;Mieso;278;22,98;19,99;0;18;186;1,9;0;0,101;0;;;
Veal;17274;Mieso;232;22,02;15,31;0;15;197;0,76;;0,057;;;;
Game meat;17338;Mieso;178;29,39;5,84;0;7;248;3,73;0;0,179;0;;0;0,513
NESTLE, BUTTERFINGER Bar;19069;Slodycze;459;5,4;18,9;72,9;36;97;0,79;0;0,121;0;0;2;0,062
Caramels;19076;Slodycze;387;1,59;3,31;87,73;36;57;0,8;0;0,056;0;0;0,1;0,07
Fudge;19101;Slodycze;461;4,38;18,93;67,93;57;114;1,97;38;0,067;0,2;0;2,5;0,095
M & M's;19141;Slodycze;492;4,33;21,13;71,19;105;146;1,11;56;0,079;0,5;0;2,8;0,213
MOUNDS Candy Bar;19142;Slodycze;486;4,6;26,6;58,59;21;91;2,09;0;0,049;0,4;0;3,7;0,058
NESTLE, 100 GRAND Bar;19144;Slodycze;468;2,5;19,33;70,97;76;86;0,34;38;0,058;0,7;0;1;0,119
ESTLE, CRUNCH Bar and Dessert Topping;19145;Slodycze;500;5;26;67;100;;0,7;;;;;;
HERSHEY, KIT KAT BIG KAT Bar;19250;Slodycze;520;6,24;27,84;63,64;138;112;0,84;;0,05;;;;
Vanilla ice cream;19260;Slodycze;169;3,97;7,45;21,42;136;75;0,19;86;0,029;0,9;0,1;0;0,122
Chocolate ice cream;19893;Slodycze;201;5,3;7,28;29,68;158;;0,85;;;;;;
Chocolate;19903;Slodycze;579;6,12;38,31;52,42;62;260;6,32;3;0,032;;;;
Chicken;19904;Mieso;171;19,95;9,27;0,86;12;156;1,33;0;0,066;0;0,1;0;0,208
Duck;19905;Mieso;199;19,85;12,62;0,26;9;185;3,88;0;0,302;0;0,2;0;0,382
Goose;19906;Mieso;269;24,97;17,49;1,19;20;306;8,21;0;0,19;0;0,1;0;0,475
Turkey;19907;Mieso;150;22,96;6,1;0,27;16;196;1,13;0;0,051;0;0,3;0;0,257
Beef;19908;Mieso;163;18,82;9,25;0,3;13;188;1,03;0;0,44;0;0,7;0;0,245
Pork;19909;Mieso;172;20,17;9,8;0,08;10;167;2,06;0;0,062;0;0,1;0;0,198
